population	sample_id	CD7	CD19	pMET	pPLCg2	CD4	IgD	CD20	CD34	CD25	STAT5	CD123	Akt	STAT1	CD45	CD27	p-p38	CD24	pStat3	CD11c	CD14	CD33	Ikba	pCREB	CD16	tMET	CD8a	CD45RA	CD3	pERK	CD38	HLA-DR	pS6	CD127
Granulocytes	E07_D0_UN	0.260272337	0.06964889	1.936433352	0.340664873	0.16329876	0.137884277	0.071104912	0.63108258	0.12544646	0.417267416	1.421313069	0.812758391	0.543131092	4.904331965	0.132544696	1.771345962	2.964531442	1.248661537	2.40249701	0.398249858	1.728130881	0.424769289	3.019853919	0.120174579	0.71046314	0.112254962	0.618101694	0.305251073	0.270232265	3.128933405	1.32392067	0.497082807	0.29761487
HPSC	E07_D0_UN	1.530741886	0.180348377	2.487929886	0.746223697	0.298246211	0.387950867	0.043736184	4.989569253	0.284668174	0.673526697	1.161356906	0.840549678	0.412902494	4.441410743	0.058560017	1.712947552	0.118551356	0.232573249	1.389225421	0.165616212	1.79588994	2.091722176	4.689824242	0.165226734	2.160327409	0.094255	0.878628365	0.214368699	0.170113027	3.589873013	3.999248326	0.743291065	0.169864653
Monocytes	E07_D0_UN	0.779087315	0.078378629	3.080189819	1.168756853	1.175110764	0.384062356	0.112330499	0.834621609	0.199434276	1.028117803	0.989812223	1.768741232	1.573920415	6.222850429	0.364072471	2.334117769	0.306794208	0.549143258	4.757010478	3.321477404	3.148949711	2.013349865	4.8933946	0.440111204	1.995964145	0.230413647	1.402335226	0.648167694	0.412405032	4.113249995	5.173765992	0.923818293	0.371061353
NK cells	E07_D0_UN	3.95297302	0.049286577	2.102291689	1.115771021	0.159078355	0.136297969	0.08796212	0.288169973	0.159433097	0.560200696	0.034734089	1.392023886	0.454036388	6.140820934	0.7706613	0.544007571	0.176113819	0.120423168	3.079724803	0.147407548	0.144475016	1.802330593	4.603017194	0.388554319	1.158842628	0.755483961	3.382557743	0.567222539	0.177809295	5.60169727	1.512194267	0.43791137	0.128666745
None	E07_D0_UN	1.279209899	0.129699801	2.139045903	0.492604407	0.416360799	0.19757505	0.05084426	1.178304989	1.957690609	0.530868651	3.849757754	1.04662984	0.771539428	4.853553859	0.572258019	2.23438823	0.256445779	0.278513167	2.305735514	0.175709127	1.585427338	1.268501715	4.700010708	0.184893679	1.642461385	0.322426463	0.886617171	0.981097293	0.295515126	4.078221874	1.734233039	1.685577818	0.318596764
T.CD4 cells	E07_D0_UN	2.88282879	0.04990997	2.104846644	0.898565719	3.764471836	0.422105978	0.0783754	0.234727692	1.02750298	0.522583121	0.038272276	1.374749345	0.990570369	6.130494919	4.155145377	0.556227528	0.099188056	0.245417121	0.238026138	0.110096164	0.087094294	2.803007606	3.897595981	0.311623594	2.059622799	0.457004201	1.547972025	6.391617242	0.426818742	1.631669381	0.402951234	0.218904035	0.970760882
T.CD8 cells	E07_D0_UN	3.34448767	0.034803855	2.157696056	0.883885841	0.29305976	0.108715946	0.088201374	0.254346172	0.60673647	0.580365256	0.051183029	1.524893697	1.072927338	6.259560277	4.498403746	0.501302924	0.125833395	0.184055801	0.270864759	0.122914775	0.084431906	3.039384567	4.620285067	0.371084215	2.060798251	4.953222377	2.439514415	6.343441018	0.436426516	2.164249009	1.073476761	0.325924351	0.756802332
T.DN cells	E07_D0_UN	2.745285378	0.030535041	1.963764176	0.685964729	0.134430586	0.105080721	0.083683679	0.318849441	0.631516601	0.486662217	0.039136603	1.235853054	0.737885946	5.93504935	3.475483221	0.581800454	0.094974912	0.184714203	0.285319763	0.116441337	0.0888812	2.224930126	3.948388735	0.279595969	1.812218054	0.58674199	2.116885409	6.088952509	0.290543585	1.632739384	0.516793621	0.322714273	0.864996168
Unknown	E07_D0_UN	0.204072684	0.015468417	0.822323538	0.235456362	0.039565611	0.066804772	0.008900795	0.36442643	0.021362268	0.112996825	0.023339378	0.252447168	0.04390683	1.167692981	0.028715878	0.437150043	0.040825498	0.36517205	0.121181185	0.053080307	0.087657604	0.317900794	0.922819552	0.033323543	0.485926958	0.03982515	0.136155419	0.153078202	0.049182282	2.510534815	0.222673303	0.090670836	0.084688887
B cells	E07_D0_perv	0.793543591	4.142864637	2.417997627	1.934869671	0.300564756	2.65878705	4.995259539	1.246900638	0.49824976	0.697775736	0.18687151	1.963123914	0.826890043	6.207638009	0.432986958	2.169619293	1.383095851	0.478679839	0.506688264	0.307657565	0.225583494	1.735538008	4.382786277	0.128481021	1.90188314	0.184040644	5.33000803	0.572650968	0.414795301	3.844734852	5.32305983	3.55659916	0.262867318
Granulocytes	E07_D0_perv	0.318017689	0.071004143	2.141348397	0.839603065	0.183762121	0.153415967	0.068991342	0.622347486	0.139299027	0.742148874	1.381567789	0.948163414	0.644321767	4.961168671	0.194022668	2.822240199	2.983861399	1.410178797	2.502090592	0.471401523	1.76571938	0.408677868	3.05853382	0.126702025	0.752631026	0.115371488	0.584429141	0.342094226	0.539281204	3.110881109	1.218222766	0.515035773	0.286234011
HPSC	E07_D0_perv	1.639723459	0.171000153	2.560462359	0.969369512	0.308473969	0.361394541	0.041378491	4.997956576	0.281676497	0.797416026	1.233715343	1.04690731	0.50180496	4.516383146	0.105107785	3.95446304	0.298806529	0.284383034	1.399646909	0.172165069	1.784572887	2.32109605	4.940528759	0.167400001	2.158980353	0.091932574	0.875194031	0.205083484	0.266611371	3.584659169	4.067684943	1.13877056	0.149798004
Monocytes	E07_D0_perv	0.790892674	0.139088392	3.263054725	2.358457228	1.347340669	0.409276575	0.102001583	0.752403899	0.185176887	1.613988574	0.992972434	1.844647044	1.889364837	6.241912246	0.361652356	3.872061935	0.469533387	0.845142171	4.723095545	3.275792966	2.97533018	2.131832439	4.750901454	0.404279057	2.031495577	0.190876747	1.266244727	0.560057634	0.68883915	3.966852467	4.889828467	0.941992201	0.287086073
NK cells	E07_D0_perv	3.946798382	0.107445988	2.690828138	3.421412873	0.452162027	0.250160137	0.091730484	0.330792727	0.146411694	1.94386389	0.042067403	1.935556935	1.610235806	6.174407099	0.764261718	3.115055769	0.279637156	0.294657894	3.164494208	0.360205555	0.147830425	1.614848498	4.333531299	0.271652773	1.272936843	0.80799972	3.391810899	0.530429738	0.891663047	5.563186601	1.426169208	1.187714255	0.138193161
None	E07_D0_perv	1.462435704	0.180758076	2.458220818	1.474757186	0.694821736	0.242613447	0.050871901	1.266082689	1.881260845	1.240321508	3.752487863	1.243424513	1.174806233	4.952362612	0.736501594	3.666543437	0.404091967	0.568816192	2.162782863	0.250327396	1.508694061	1.35534034	4.691459978	0.187873001	1.801716891	0.373200364	1.14543664	1.224327554	0.868316893	4.097395479	1.897214306	1.75935562	0.30251618
T.CD4 cells	E07_D0_perv	2.958174232	0.261784038	3.280029001	4.62825717	3.84993835	0.714016523	0.073660687	0.28341044	0.814327909	2.684591134	0.05504864	2.269246863	2.701532012	6.171417333	4.109550596	3.152795539	0.217034525	0.79638345	0.318780267	0.646696785	0.085844906	2.12041983	4.41214954	0.367511739	2.204249013	0.428237266	1.501856989	6.302299027	1.715391167	1.61975067	0.422964319	1.22834796	0.952946648
T.CD8 cells	E07_D0_perv	3.377511374	0.304095999	3.546093916	5.428849759	1.355317432	0.470274029	0.083863767	0.312888426	0.426588884	3.357094718	0.074607514	2.521933175	3.24006856	6.299386513	4.421914396	3.581183087	0.267711725	0.869760809	0.378561695	0.837562256	0.081204353	1.875659672	5.025820132	0.441313068	2.194414437	4.904845815	2.379073525	6.21368972	2.258866863	2.148978274	1.05949869	1.714973231	0.715874742
T.DN cells	E07_D0_perv	2.795404937	0.229134088	3.127821154	4.214771603	0.896601809	0.359016025	0.069538448	0.3588727	0.460774644	2.604693782	0.069679627	2.170590684	2.342947125	5.963393723	3.396836366	3.13188754	0.232052074	0.561008028	0.367391269	0.645626457	0.08494752	1.456298557	4.24143364	0.325563672	1.887386455	0.623693257	2.101504256	5.964565756	1.279811134	1.712514168	0.625204194	1.277871827	0.772092556
Unknown	E07_D0_perv	0.209996756	0.016181136	0.943365639	0.245166763	0.047295141	0.055505762	0.008743612	0.331232345	0.02233569	0.201071819	0.028358659	0.291653969	0.072804487	1.260820587	0.049703625	2.046085688	0.115104312	0.499682209	0.133047499	0.065585817	0.090800014	0.331566366	0.905220325	0.032628459	0.408439455	0.038336916	0.144471002	0.152830232	0.0839329	2.49071172	0.228323125	0.118193861	0.072076316
B cells	E07_D1_UN	0.765118231	3.648283668	2.02991681	0.640773852	0.220524593	2.098418141	4.679900161	1.019465521	0.461891311	0.415714476	0.20086939	1.37557026	0.411013745	6.00506492	0.749754754	1.019515134	1.224470779	0.308226514	0.690549748	0.199860962	0.21140563	0.799580051	3.820640672	0.127310551	1.412173502	0.278873694	5.074947798	0.89529948	0.295717772	3.780332383	5.154391267	2.633199828	0.239696545
Granulocytes	E07_D1_UN	0.267912692	0.150983128	1.19783331	0.201933593	0.102883328	0.177118162	0.133825337	0.393464057	0.163024713	0.226677304	0.536229582	0.526118613	0.141767965	4.938867071	0.179802427	0.949236661	3.152422805	1.588440767	2.457177168	0.356703835	1.316184582	0.132401165	1.36856038	0.172097893	0.293922363	0.215582951	0.411356428	0.363684257	0.16794286	2.110980266	0.791988205	0.33458598	0.500628033
HPSC	E07_D1_UN	1.367480261	0.159265085	1.828897503	0.572938674	0.244611467	0.340920362	0.035785064	5.166931751	0.214036138	0.543027972	1.003536107	0.644815839	0.302033	4.455643754	0.056633632	1.797645184	0.108021113	0.202850926	1.394068314	0.117792404	1.70280193	1.518713754	4.66219535	0.118415408	1.685933933	0.07390448	0.880654387	0.177839373	0.154772535	3.476087747	4.061345682	0.632178847	0.123133583
Monocytes	E07_D1_UN	0.712868504	0.061270652	2.810943327	0.839877114	1.060869163	0.296998763	0.088935739	0.634483134	0.15780801	0.75214101	0.95838275	1.527639116	1.041628919	6.105312731	0.385810559	2.813722505	0.393788628	0.507731902	4.691128332	2.850440928	2.962258547	1.41684546	4.824806518	0.354916975	1.582644476	0.217979916	1.358182316	0.651020633	0.437446558	4.014663559	5.188148282	1.011548287	0.330718227
NK cells	E07_D1_UN	3.73766134	0.041763904	1.991065114	0.770820449	0.129033143	0.105877816	0.081202216	0.253731028	0.127161978	0.390746435	0.029496884	1.219324329	0.331338454	6.006777972	0.732868766	1.135905839	0.163492851	0.134488813	3.017119043	0.129640184	0.134409701	1.286984548	3.785843634	0.236883379	0.923809992	0.604225539	3.21194527	0.538728847	0.183524941	5.463912995	1.605427777	0.392715877	0.120524976
None	E07_D1_UN	1.122815394	0.10855516	1.833839701	0.474437816	0.50691247	0.171827044	0.048056317	1.111168367	1.850832314	0.449129472	3.777339424	0.847116569	0.587177104	4.906345871	0.721106736	2.41275719	0.283776022	0.28650155	2.193974693	0.161726604	1.41164104	0.927752492	4.687592338	0.145712582	1.376657484	0.299723718	0.869049645	1.177796123	0.333323635	3.834713304	1.793060646	1.691236432	0.289345278
T.CD4 cells	E07_D1_UN	2.734024946	0.04401807	1.969538469	0.697821716	3.415766851	0.302838687	0.062608426	0.226261501	0.72928979	0.595051083	0.073790199	1.130467009	0.854504313	5.991354908	3.963740617	0.672512928	0.120312392	0.303036113	0.315611455	0.110334403	0.088195701	1.642055567	3.194156483	0.236547577	1.447887267	0.366095441	2.235555603	6.142954645	0.351290194	1.960203054	0.486764985	0.203846841	0.651207543
T.CD8 cells	E07_D1_UN	2.635477219	0.030012256	1.880987256	0.553731739	0.202605455	0.091880779	0.071841545	0.210799484	0.315702393	0.551352919	0.04937472	1.267821947	0.821950533	6.110531491	4.081028852	0.907184048	0.114501436	0.17330454	0.274945009	0.105845163	0.073171522	1.703896062	3.756559121	0.253497074	1.405920719	4.301979734	2.073383199	6.037241659	0.346260614	2.886314918	1.840035505	0.29366504	0.495506536
T.DN cells	E07_D1_UN	2.183278428	0.044359313	1.906902878	0.544379988	0.127886632	0.110340041	0.078628657	0.339065069	0.354652945	0.455460504	0.097071172	1.121215365	0.598595224	5.724558526	2.783138149	0.934189134	0.082545386	0.264400225	0.382179949	0.145412104	0.086028097	1.224572227	3.028845795	0.2522337	1.372932225	0.561150746	1.481398447	5.84880006	0.283712071	2.20807414	0.918281336	0.276227405	0.626173597
Unknown	E07_D1_UN	0.14758549	0.013076407	0.686609285	0.116094449	0.024486738	0.048050969	0.006716925	0.293217249	0.015515536	0.089041457	0.01815375	0.170818934	0.035532626	1.009132522	0.030656994	0.64483297	0.036476839	0.270911556	0.119168873	0.036542544	0.07118022	0.164509614	0.856883764	0.022054873	0.243557903	0.049536866	0.11970773	0.16997944	0.03875805	2.26682989	0.194388901	0.05877254	0.054815095
B cells	E07_D1_perv	0.780905798	3.575750096	2.415221359	1.831908085	0.394365288	2.248456108	4.547324161	1.107011655	0.449123244	0.840543623	0.179226695	1.546176148	0.767829005	6.005876497	0.755884777	1.949580503	1.149440367	0.582399509	0.774750893	0.350662662	0.296987238	0.868618311	3.762715354	0.121951637	1.766896187	0.336514248	4.995887973	0.879722055	0.55387273	3.585416073	5.21135247	2.743817635	0.385929596
Granulocytes	E07_D1_perv	0.271547195	0.13809992	1.358998353	0.475996113	0.124985134	0.164102766	0.117287215	0.41135603	0.159877232	0.402571237	0.545516366	0.58453997	0.195939689	4.965370692	0.185191487	1.121190605	3.137933903	1.661127237	2.50172849	0.375868035	1.458318013	0.126154607	1.499526697	0.148667234	0.340764559	0.189760541	0.421238492	0.372652297	0.29328895	2.069487535	0.780902076	0.35534057	0.440407082
HPSC	E07_D1_perv	1.487217825	0.158811704	2.442852758	0.844888169	0.282367825	0.348868218	0.040073395	5.064164419	0.213058591	0.739292936	1.114363085	0.953568441	0.56626941	4.550088846	0.104912826	4.004789831	0.295662773	0.309514255	1.539621691	0.165040822	1.698792682	1.776408472	5.003844083	0.163330861	1.975169258	0.08554311	0.929895994	0.206902703	0.264295046	3.47667887	4.179834226	1.014826672	0.137777853
Monocytes	E07_D1_perv	0.812201712	0.14693417	3.26966147	2.52344829	1.365944756	0.401279884	0.091527205	0.633440865	0.151451676	1.758169965	0.900571365	1.616564757	1.427400808	6.120569938	0.425782316	3.862133931	0.525860593	1.060995587	4.668508632	2.985644145	2.863957066	1.586931574	4.758593126	0.371641279	1.918252947	0.223635697	1.298668203	0.679534701	0.932748267	3.974792557	4.900435626	1.040975245	0.279032433
NK cells	E07_D1_perv	3.794736855	0.053996288	2.412751464	1.551472809	0.192376346	0.147946095	0.096349015	0.296149346	0.126958201	0.951217898	0.036135231	1.448038664	0.926517035	6.075510897	0.753730726	2.089803924	0.211238295	0.226742205	3.138869242	0.190904093	0.126960542	1.426855967	3.319880056	0.269362848	1.191568347	0.70614094	3.316683839	0.548281563	0.502899955	5.43780644	1.575564661	0.407111296	0.131201253
None	E07_D1_perv	1.274932623	0.139546271	2.158309777	1.12142664	0.65562881	0.22120051	0.054932739	1.224054539	1.793499628	0.951493559	3.68985904	1.010204469	0.900340019	4.928221025	0.834202517	3.51853274	0.384227006	0.458880642	2.245962265	0.190381339	1.443626526	0.994402884	4.567787458	0.179018712	1.618864819	0.317791342	0.975532897	1.308691685	0.652811144	3.92256463	1.893509521	1.625899744	0.296366495
T.CD4 cells	E07_D1_perv	2.811423204	0.108959858	2.718004046	2.707407836	3.435802093	0.423266952	0.074346443	0.269651927	0.718403752	1.807221237	0.094104385	1.811410543	2.119352092	6.023995142	3.965648113	2.631369247	0.200649276	0.671095804	0.38068649	0.256055432	0.116273125	1.521474201	3.699771476	0.267425996	1.736191047	0.390762452	2.243611738	6.078392717	1.533469923	2.032886403	0.530867937	0.801491706	0.699097848
T.CD8 cells	E07_D1_perv	2.692336558	0.089344265	2.679076528	2.891779027	0.531046676	0.201035163	0.076813536	0.261461538	0.275679906	1.96883596	0.062182793	1.813771008	2.123908379	6.146741389	4.00619463	2.895042876	0.197674366	0.539366038	0.338748246	0.301503616	0.082007743	1.519450006	4.000097655	0.310407151	1.763652364	4.311032732	2.018357294	5.981104589	1.657140918	2.937354907	1.875302248	0.962397229	0.544343563
T.DN cells	E07_D1_perv	2.414620255	0.081082018	2.530715049	2.064990414	0.316712756	0.163969854	0.076679026	0.389179109	0.304503237	1.374974661	0.059818928	1.471932219	1.302052536	5.727903838	2.931496551	2.425379335	0.201279498	0.498600037	0.400404197	0.271492202	0.112363051	1.065605189	3.226843182	0.264684911	1.605818178	0.552649074	1.523393686	5.762404773	1.020175774	2.34702733	0.932153595	0.729449718	0.680491725
Unknown	E07_D1_perv	0.161922554	0.014735201	0.902786102	0.26378332	0.040387636	0.047099445	0.007876257	0.269436898	0.016993589	0.190295044	0.026487182	0.200211795	0.06329917	1.176468341	0.042734571	1.633347361	0.079696696	0.427757727	0.14781576	0.051103344	0.081767503	0.186743506	0.849846353	0.025250386	0.265829915	0.055656315	0.1357018	0.187938636	0.067114315	2.273271544	0.225850834	0.079263065	0.054017947
B cells	E09_D0_UN	0.168317065	3.7297933	2.120093839	0.2753185	0.130359086	3.624576738	5.087091374	0.852902197	0.251377939	0.20048156	0.256814604	0.903706005	0.383957159	5.954073408	0.435732439	0.752683766	1.162455225	0.217393644	0.510469401	0.099507335	0.10956089	0.364536837	4.13338298	0.049316961	0.841583819	0.069017219	4.720773899	0.333063325	0.157108235	4.035002401	5.24395985	2.916760842	0.206970841
Granulocytes	E09_D0_UN	0.077500788	0.061156095	0.792093079	0.073113945	0.035793824	0.067403349	0.107481137	0.132816127	0.081830796	0.12245457	0.033358027	0.44854319	0.063621055	5.042809323	0.145287517	0.475959669	3.720730158	2.046435044	3.294983718	0.220602866	1.389259116	0.047517078	0.441382676	0.050332779	0.143507286	0.119831745	0.148193535	0.229782217	0.045178747	1.130404617	0.254202093	0.048907262	0.282466478
HPSC	E09_D0_UN	0.284650501	0.123386828	2.041003951	0.15757951	0.03416773	0.189496846	0.029760876	3.937196155	0.0702103	0.213902368	0.457119141	0.590103641	0.178309747	3.19259258	0.063149783	1.478245058	0.091805135	0.163788746	0.25882664	0.06881515	0.082356999	0.614028864	3.567836238	0.050487397	0.590924586	0.051814416	0.394728887	0.108098122	0.243105303	2.008279917	3.314966292	0.373521835	0.171253412
Monocytes	E09_D0_UN	0.125478435	0.039730645	2.647409372	0.308201272	0.511408702	0.106325215	0.054544662	0.107524588	0.089716433	0.359717035	0.537438947	0.947848045	1.176705539	5.971424041	0.218270691	2.311460616	0.23803679	0.225598378	5.026262963	1.947130709	2.515341048	0.571722287	4.46443151	0.462109315	1.346658336	0.088953299	1.258929967	0.358905551	0.203449095	1.824511586	4.651046797	0.399411865	0.203453357
NK cells	E09_D0_UN	3.233454816	0.025614561	1.993999642	0.244305918	0.02059571	0.048493841	0.044308428	0.086550261	0.081906225	0.188960224	0.010931603	0.770891393	0.294040154	5.904211176	0.303594973	0.764692938	0.136819068	0.063221677	3.368234723	0.058607781	0.034771399	0.516677017	3.827791395	0.966786157	0.473165687	0.191858573	2.705001868	0.22150321	0.090295723	4.615399966	0.514949435	0.200540224	0.069026802
None	E09_D0_UN	0.160909854	0.357915464	1.815141093	0.075359868	0.175823959	0.046801286	0.125681087	0.052884222	0.730578123	0.482230865	2.962662441	0.535035462	0.692867443	4.216133618	0.531877523	1.898130652	0.12838041	0.103077596	1.542808934	0.055949462	0.808713186	0.41147725	3.576678436	0.064149411	0.827448745	0.091983371	0.912236121	0.336873164	0.297901164	2.93682497	0.763892349	0.634712293	0.12807465
T.CD4 cells	E09_D0_UN	1.650877646	0.030853344	1.943661103	0.177326774	3.293722247	0.203069868	0.056055386	0.069339792	0.814204325	0.195224909	0.018325315	0.805863704	1.195286093	5.795261522	3.650639727	0.518720646	0.096252815	0.147347759	0.108366138	0.049218001	0.034404674	1.168820772	3.341846541	0.165639593	1.715112533	0.27630498	0.514842191	5.959960594	0.235277317	0.841401615	0.259722136	0.111297653	0.948060344
T.CD8 cells	E09_D0_UN	1.815701919	0.021850216	1.92241863	0.134127999	0.328612777	0.05141703	0.063851161	0.080540794	0.455588294	0.190640706	0.016592042	0.829019897	0.989746673	5.898763153	3.183191495	0.526070624	0.102879281	0.093024971	0.172868864	0.051332722	0.036871694	1.298803092	3.739231831	0.168930209	1.587271583	4.068932511	1.300520038	5.846311045	0.194628645	1.324290679	0.755675789	0.154819736	0.679119723
T.DN cells	E09_D0_UN	1.667222012	0.019230749	1.846907211	0.116360484	0.036870958	0.038518341	0.054351846	0.076570873	0.304888582	0.145910053	0.014288316	0.67620925	0.719728845	5.588207147	2.658769179	0.640518728	0.068900618	0.056742646	0.254406815	0.047935838	0.025301931	0.769342572	3.19809909	0.129850571	1.290369779	0.415890136	0.727840732	5.555224311	0.170204377	1.129193535	0.501441112	0.212287114	0.804086032
Unknown	E09_D0_UN	0.060537298	0.041714449	0.833964388	0.140264133	0.038032934	0.024711772	0.007081636	0.070392168	0.237497571	0.119837151	0.022663587	0.071952233	0.036481766	1.107369913	0.056923998	0.450924199	0.040759019	0.060626364	0.157313882	0.033253481	0.049990072	0.038764212	0.939924413	0.016836209	0.121783001	0.032696284	0.485694071	0.271461053	0.028102054	0.277208327	0.176205491	0.081474564	0.263710775
B cells	E09_D0_perv	0.246033979	3.562739868	1.962934326	1.369191425	0.326648082	3.224924401	4.856419393	0.656047167	0.223473732	0.602762115	0.177779846	1.026644667	0.570824496	5.937277589	0.642422786	1.727569435	0.981870256	0.297529421	0.574498095	0.188871347	0.093195994	0.443738891	3.735970547	0.059514632	0.979472599	0.077717426	4.597080965	0.54462724	0.570759519	3.723916716	5.038220952	2.635691607	0.19696043
Granulocytes	E09_D0_perv	0.07469476	0.052047628	0.772666076	0.236976275	0.041118694	0.059074479	0.081410731	0.109128586	0.065227429	0.152004807	0.029228314	0.392050415	0.061039969	4.924246163	0.125546263	0.483804476	3.592418952	1.796660095	3.097284446	0.208136928	1.261221958	0.042045712	0.518493826	0.041990434	0.148354174	0.106971204	0.150816714	0.205186404	0.068791061	0.953582641	0.253131992	0.044154575	0.188242075
HPSC	E09_D0_perv	0.208724395	0.024786412	1.508651349	0.494775517	0.061629745	0.146631512	0.009179688	4.003531865	0.03896912	0.288400485	0.421444288	0.405595773	0.229515615	3.193154349	0.036519121	3.081301089	0.044423386	0.142116256	0.317084878	0.06341516	0.068641843	0.984898511	3.690803629	0.050595851	0.742328426	0.028486531	0.303283987	0.079528835	0.076781628	2.013745738	3.255024674	0.537363224	0.048032542
Monocytes	E09_D0_perv	0.126605402	0.109036968	2.719299588	3.314813	0.78408798	0.183414872	0.039257063	0.090312866	0.066853537	1.706226512	0.359496014	0.825210769	1.181334154	5.930399034	0.232302346	4.051861869	0.377767401	0.795275382	4.859007314	2.03772402	2.151192419	0.549459123	4.715361804	0.372952412	1.164402589	0.073556743	0.976239938	0.317106724	0.801728638	1.662272285	4.158902688	0.455043983	0.125461667
NK cells	E09_D0_perv	3.056009663	0.077520289	2.163938155	3.401656222	0.295659261	0.129245933	0.032738478	0.081518394	0.062464048	1.458357941	0.009831901	0.889382469	0.522531954	5.846986021	0.284277224	3.031377879	0.204444893	0.254586787	3.151237997	0.32670106	0.034161624	0.44702262	3.951740681	0.503076963	0.467795456	0.149179643	2.438659385	0.186680136	0.900738116	4.473476384	0.442885173	0.600018573	0.053434873
None	E09_D0_perv	0.090412355	0.344753519	1.758075612	1.292382588	0.268194343	0.070935534	0.094118953	0.039941677	0.536974952	1.38123933	2.65517274	0.550097083	0.715702149	3.942198876	0.515489754	2.678083887	0.182194274	0.380000532	1.265998654	0.113793083	0.618850553	0.341862144	3.322630934	0.065804772	0.794883962	0.073704455	0.973607033	0.256301477	0.840582865	2.53399233	0.89380401	0.549838588	0.077535982
T.CD4 cells	E09_D0_perv	1.478617382	0.110326059	2.818188086	3.974585554	3.208149289	0.290392262	0.038412408	0.068979993	0.621378086	2.320190622	0.019262678	1.452411133	2.13368625	5.78662395	3.545121861	2.842960791	0.157750948	0.448370704	0.130456328	0.400520565	0.031056582	0.641562972	3.725701856	0.165533716	1.561829895	0.214360979	0.469883073	5.805538315	1.752450854	0.802957784	0.229762238	0.522263828	0.672462722
T.CD8 cells	E09_D0_perv	1.602342202	0.119204338	2.818666704	4.216108526	0.735630662	0.182944063	0.044296877	0.083445265	0.291144776	2.37908534	0.016661702	1.325076556	1.946820204	5.885993098	3.055146935	3.032209036	0.173140189	0.355059474	0.175176819	0.468285602	0.030786398	0.556690547	4.039135573	0.171373745	1.463402785	3.844990293	1.236965943	5.678714009	1.817690679	1.247549	0.649325724	0.629808251	0.451965469
T.DN cells	E09_D0_perv	1.380246739	0.069095927	2.110588837	2.652126545	0.259185696	0.103273763	0.04448718	0.05409495	0.181189955	1.374336138	0.009768197	0.827699797	1.105790473	5.432625816	2.40873901	2.289750122	0.094477673	0.178980279	0.181896512	0.249792134	0.020143856	0.370410654	3.069645298	0.12246275	1.164845517	0.387146597	0.632487953	5.298664044	0.864910309	1.034345131	0.456921427	0.442179879	0.545209604
Unknown	E09_D0_perv	0.057562453	0.054817873	0.773345913	0.276226178	0.039619462	0.020299179	0.008349309	0.047315104	0.102082335	0.173489331	0.021949051	0.066071613	0.033606445	1.057016638	0.054420236	0.72987724	0.049587816	0.0653972	0.174241793	0.047153922	0.060499666	0.036955161	0.864225241	0.018770021	0.125786861	0.028029565	0.428098541	0.247897216	0.075060291	0.243326696	0.182968425	0.07179634	0.242270176
B cells	E09_D1_UN	0.12614044	3.379714437	2.159703777	0.201314966	0.052416404	3.38388784	4.91582209	1.04546467	0.262022678	0.185597306	0.415226446	0.742700766	0.366018132	5.666449128	0.164278981	0.51333619	1.525237924	0.287813276	0.489620051	0.064061365	0.073394905	0.044939201	1.79245704	0.014388891	0.200555429	0.030941652	4.24282151	0.190277588	0.120642471	3.916970911	5.212094844	2.029724488	0.196428802
Granulocytes	E09_D1_UN	0.060561469	0.040109171	0.668276746	0.049343423	0.018461647	0.039508327	0.079383964	0.091614113	0.059788429	0.111614347	0.015548959	0.397316018	0.041730923	4.96227091	0.121596972	0.380686085	3.476504139	1.323491529	3.093590314	0.145449309	1.119483325	0.032943351	0.214062598	0.031778553	0.135601887	0.089644187	0.120211586	0.2297428	0.041159872	0.930124594	0.218133136	0.030562225	0.215626682
HPSC	E09_D1_UN	0.090750448	0.103366701	2.044678858	0.252532469	0.054639237	0.22048483	0.034274771	4.172810668	0.038253744	0.364573845	1.137439498	0.103811805	0.452372	3.009122767	0.009483545	0.729227338	0.320480322	0.152674412	0.60197568	0.146621874	0.322416253	0.398707089	1.59785671	0.112288434	0.379670415	0.031887329	0.081523928	0.169954332	0.075908417	1.541946536	3.932285979	0.102287667	0.156703678
Monocytes	E09_D1_UN	0.099353978	0.05561171	2.993425812	0.190982171	0.665714115	0.12622094	0.077505089	0.149002769	0.081836983	0.356261581	0.694559765	0.917021502	1.607188516	6.031290758	0.127428923	1.524374257	0.437761786	0.232042701	5.061549554	1.861196014	2.505177361	0.198261537	3.182842238	0.324782335	0.327775956	0.042031903	0.995322151	0.208399132	0.2045215	2.044093154	5.070199185	0.316042012	0.27506999
NK cells	E09_D1_UN	2.298306448	0.043889103	2.647176873	0.139539286	0.019675645	0.058645947	0.066944307	0.112909709	0.093925181	0.173897375	0.015803323	0.736017712	0.432164297	5.884648537	0.228749087	0.766637843	0.148243781	0.098370827	3.501200142	0.072865472	0.040353464	0.08746269	2.342871261	0.547384009	0.237888882	0.170107711	2.600979064	0.252845685	0.115035215	4.493982813	0.683081475	0.123552915	0.128484001
None	E09_D1_UN	0.07840229	0.197076831	2.17243645	0.086575201	0.097135883	0.046930393	0.058996181	0.117139618	0.682010371	0.490825177	3.528597005	0.4561934	0.955928652	4.569594145	0.141474406	1.90162275	0.100294843	0.101288605	2.080641335	0.069306341	1.00793397	0.08078437	2.759137707	0.028178485	0.229258441	0.072834657	0.597051277	0.298747762	0.460352495	3.008739898	0.666715613	0.274919254	0.191962231
