population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,10.72,1.09,4.39,1.26,1.13,6.29,255.87,15.62,15.35,29.33,39.59,4.4,0.01,0,927.81,4.3,5.93,0,10.72,1.04,2.67,3.34,1.14,1.17,1.22,2.96,8.67,97.07,3.33,1.93,0.17,0.91,1.48
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,19.65,1.89,11.12,2.12,1.93,65.14,214.49,17.28,13.4,37.89,32.6,9.58,0,0,905.31,3.82,5.06,0,12.69,0.68,2.86,3.31,2.54,0.82,0.8,2.07,6.02,82.63,3.09,1.94,0.64,0.8,0.89
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,0,0,1.25,0.66,0,1.35,7.89,1.78,3.56,7.17,1.32,0.47,0,0,15.47,1.1,1.16,0,0,0,0,0.24,0,0,0,0.3,0.4,34.72,0.8,0,0,0,0.06
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,0.13,0.15,1.27,1.56,0.1,38.54,8.4,2.3,3.21,9.73,1.38,1.23,0,0,18.96,1.15,1.38,0,0,0,0,0.45,0.05,0,0,0.4,0.45,34.54,0.89,0,0.17,0,0.02
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,0,0,0.26,0.51,0,1.74,5.48,0.88,1.33,4.81,0.12,0.07,0,0,11.43,0.7,0.51,0,0,0,0,0.22,0,0,0,0.06,0.23,28.16,0.69,0,0,0,0
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,0,0,0.59,1.23,0,17.11,5.5,1.18,1.58,7.31,0.21,0.63,0,0,14.81,0.79,0.67,0,0,0,0,0.49,0,0,0,0.24,0.37,28.63,0.93,0,0,0,0
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,3.76,0,0.27,0,0.19,1.48,139.59,3.72,8.97,18.37,2.96,0.4,0,0,885.33,0,12.99,0,19.65,0.71,59.64,0.1,0,0.29,0.7,0.6,749.09,3.35,0,0,0,0,1.1
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,9.44,0.93,268.65,0.59,2.98,71.18,209.28,5.96,6.77,34.97,0.67,14.4,0,0,871.38,0,8.92,0,14.66,0.2,39.64,0.22,0.8,0.17,0.3,0.2,573.32,3.12,0,0.34,0.08,0,0.4
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,0,0,0,6.46,0,1.62,0.95,1.93,0.32,4.57,0,0,0,0,403.8,0,0,0,0,0,0.02,52.7,0.05,0,0,0,0.69,5.34,0.35,0,71.04,5.37,0.54
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,0.03,0,0,3.72,0,2.79,2.52,2.66,0.75,7.31,0,0.37,0,0,444.43,0,0,0,0,0,0.3,47.61,0.14,0,0.05,0.16,0.96,5.22,0.46,0,49.18,4.57,0.36
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,0,0,0,10.13,0,0.51,1.46,1.16,0.66,2.43,0,0,0,0,416.49,0,0,0,0,0,0,76.96,0.23,0,0,0,0,3.11,0.06,0,78.17,5.11,1.34
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,0,0,0,10.32,0,0.7,2.19,1.63,1.03,3.33,0,0,0,0,433.18,0,0,0,0,0,0,83.53,0.31,0,0,0,0.04,3.46,0.14,0,79,6.85,1.49
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,4.13,0.12,3.13,0,1.02,1.74,178.07,10.46,19.29,17.37,79.39,1.76,0,0,868.86,1.91,48.29,0,90.92,11.08,210.54,0,0,1.06,2.39,3.55,1288.67,7.29,0,1.25,0,0,1.25
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,11.48,13.17,975.84,1.41,35.08,91.52,358.24,43.99,17.78,83.25,27.94,65.66,0,0,910.92,2.52,50.54,1.43,103.46,6.4,202.29,0.25,4.41,1.04,1.65,2.75,1183.57,7.99,0,3.88,0.41,0,1.15
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,4.25,0.15,2.51,0,0.92,1.54,182.97,9.61,17.92,15.03,60.43,1.43,0,0,853.85,1.6,41.29,0,85.06,8.15,192.13,0,0,0.94,2.28,2.03,1242.17,4.88,0,1.04,0,0,1.77
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,12.73,12.37,1032.56,1.35,63.09,80.34,332.51,40.71,14.54,78.65,18.49,70.43,0,0,886.89,1.94,42.15,1.1,96.2,4.44,187.43,0.13,4.06,0.85,1.53,1.5,1106.05,5.96,0,3.2,0.26,0,1.24
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,2.92,0.09,0.29,0.25,0.34,2.73,140.16,3.07,8.79,22.93,3.56,0.46,0,0,695.01,0,4.02,0,4.4,0,3.65,1.52,0.36,0.04,0.26,18.2,63.92,11.65,4.15,0,0,0,0.65
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample3_01_0_E13_D0_PERV.fcs - c10_sample3_01_0_E13_D0_PERV.fcs,5.64,0.96,101.74,0.93,2.13,60.73,224.65,5.81,8.98,46.79,1.95,6.52,0,0,730.03,0,8.68,0,11.7,0,20.01,1.37,1.89,0.16,0.23,21.98,267.11,10.01,1.97,0.44,0.19,0,0.51
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample3_01_0_E13_D1_UN.fcs - c05_sample3_01_0_E13_D1_UN.fcs,2.19,0,0.27,0,0.16,1.16,95.19,2.62,7.66,17.78,7.39,0.34,0,0,771.18,0,22.88,0,9.61,0,97.72,0.02,0,0.13,0.66,42.48,781.13,3.21,0,0,0,0,0.54
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV-(1).fcs - c11_sample3_01_0_E13_D1_PERV.fcs,4.64,0.7,103.25,0.43,1.99,55.84,191.72,6.03,7.94,41.11,2.76,6.46,0,0,791.34,0,21.29,0,11.35,0,79.58,0.26,0.78,0.18,0.48,37.69,625.18,3.7,0.07,0.24,0.03,0,0.43
Singlet - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV.fcs - c11_sample3_01_0_E13_D1_PERV.fcs,4.54,0.77,100.21,0.49,1.99,58.86,212.75,6.01,8.6,41.66,2.95,6.34,0,0,807.18,0,21.09,0,11.09,0,85.96,0.24,0.75,0.22,0.51,41.71,691.72,3.72,0.09,0.27,0.04,0,0.47
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,3.16,0.47,3.37,0,0.68,1.83,146.21,10.42,17.1,19.83,15.54,2.11,0.03,0,1054.96,0.64,35.62,0,80.29,1.61,164.87,0.56,0.11,1.02,2.25,4.4,1081.64,3.56,0.46,1.28,0,0,2.85
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,5.23,1.15,8.69,0.19,0.93,29.58,98.85,11.7,21.74,23.99,14.01,6.35,0.01,0,1053.98,0.61,34.72,0,78.84,1.43,158.38,0.52,0.34,0.9,2.01,4.15,992.65,3.43,0.43,1.41,0.07,0,2.75
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,3.87,0.56,2.53,0,1.03,2.43,148.59,11.91,16.41,19.9,21.33,1.98,0,0,885.51,2.6,32.43,0,79.05,1.91,157.38,0.12,0,1.2,2.87,4.56,1019.57,6.57,0.21,1.55,0,0,3.58
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,6.88,1.52,8.4,0.24,1.42,33.74,104.72,14.17,19.34,24.83,20.2,7.32,0,0,879.55,2.76,32.28,0,77.95,1.88,150.07,0.15,0.36,1.16,2.62,4.45,941.22,6.75,0.18,1.95,0.12,0,3.55
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,3.47,0,0.68,0,0.58,1.4,101.99,6.04,13.3,25.28,6.38,0.91,0,0,830.9,0,22.96,0,63.17,1.09,121.9,0,0,0.73,2.03,2.53,931.56,2.74,0,0.75,0,0,3.09
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,5.53,0.34,3.43,0,0.92,21.96,68.47,7.41,18.96,32.37,6.15,4.05,0,0,815.06,0,23.21,0,62.07,1.07,117.41,0,0,0.75,1.98,2.74,864.48,2.91,0,0.92,0.04,0,3.23
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,6.39,0.33,5.46,1.63,1.07,1.85,187.34,11.68,18.9,20.71,52.63,3.01,0.14,0,1145.44,0.95,45.57,0,85.89,2.29,244.59,0.81,0.26,1.42,2.86,4.55,1373,9.22,0.66,1.53,0,0,1.4
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,56.34,10.48,455.79,8.04,13.11,69.22,340.84,26.84,20.7,51.91,19.45,53.32,0.05,0,1184.27,1.18,46.96,0.63,87.65,1.62,234.06,0.9,1.87,1.33,2.13,3.74,1256.57,9.01,0.68,2.98,0.41,0,1.23
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,6.16,0.31,4.55,1.62,0.93,1.75,177.22,9.97,18.33,19.35,46.15,2.41,0.05,0,1113.89,0.73,39,0,85.25,2.43,231.98,0.64,0.18,1.16,2.45,2.35,1283.95,5.47,0.51,1.33,0,0,1.63
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,55.95,8.94,427.13,9.93,6.8,66.45,320.14,22.83,20.15,48.62,18.57,50.44,0.04,0,1152.87,1.07,42.18,0.55,88.46,1.88,224.26,0.78,1.72,1.17,1.97,2.15,1173.14,5.74,0.56,2.97,0.37,0,1.61
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,4.01,0.21,3.98,0.83,0.97,1.65,170.05,9.07,13.34,18.53,42.3,2.1,0,0,1121.35,0.71,49.77,0,88.78,2.42,245.74,0.5,0.12,1.16,2.56,5.9,1418.24,9.78,0.38,1.19,0,0,2.13
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,51.08,10.95,634.85,6.61,11.49,78.38,367.03,28.22,16.85,75.92,8.9,75.99,0,0,1149.21,0.89,51.36,0.76,92.47,1.52,231.79,0.71,2.12,1.15,1.87,5.06,1272.31,9.13,0.37,2.76,0.42,0,2.1
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample2_01_0_E03_D0_UN.fcs - c03_sample2_01_0_E03_D0_UN.fcs,6.58,0.29,3.86,0.06,0.98,2.12,190.31,12,16.97,20.62,40.24,2.45,0.03,0,1041.21,5.68,29.22,0,19.73,0.99,16.37,0.58,0.14,1.38,5.33,3.77,1057.6,9.23,0.67,1.07,0,0,1.3
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,9.88,3.69,110.46,1.1,5.79,82.89,292.98,23.1,15.58,34.89,21.55,14.04,0,0,1127.74,5.58,31.51,0.42,26.15,0.77,4.96,0.59,1.73,1.41,5.65,3.28,1020.54,8.58,0.47,2.69,0.44,0,1.15
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,7.15,0.11,3.5,0.01,0.9,2.19,173.77,11.35,18.5,21.44,57.88,2.33,0,0,1000.57,5.42,31.3,0,54.21,1.29,41.86,0.56,0.14,1.22,3.84,2.54,1074.25,7.28,0.65,1.29,0,0,1.43
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,9.61,2.65,140.12,0.92,3.38,74.24,288.15,20.44,18.53,41.34,30.72,14.2,0,0,1006.89,5.65,31.51,0.44,49.95,0.94,30.06,0.57,1.7,1.25,3.13,2.79,975.99,7.1,0.51,2.72,0.32,0,1.35
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,5.45,0.32,3.64,0.71,1.03,3.67,184.33,12.55,19.29,24.49,48.61,2.66,0,0,976.71,7.51,27.6,0,23.02,1.03,22.59,1.36,0.21,1.28,4.09,7.54,1064.18,23.22,1.68,1.26,0,0,2.17
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,8.76,2.39,30.78,1.71,2.92,65.64,303.45,22.93,18.34,40.08,35.48,8.73,0,0,1029.94,7.46,29.9,0.39,25.63,0.77,15.18,1.4,1.48,1.28,4.03,8.2,984.37,19.62,1.46,2.42,0.36,0,1.87
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,3.37,0.18,3.39,0.27,0.82,1.89,140.94,11.32,11.31,17.75,15.75,2.23,0.08,0,1193.27,1.19,27.52,0,0.67,0.59,27.01,1.04,0.23,1.53,7.36,9.51,1261.91,4.67,0.62,0.35,0,0,0.89
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,9.03,4.36,173.41,1.26,5.3,64.09,206.17,17.99,15.21,37.2,7.06,20.31,0.06,0,1226.05,1.53,30.24,0.17,9.75,0.52,25.39,1.13,1.4,1.55,6.36,10.25,1183.2,5.2,0.68,1.5,0.25,0,0.88
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,3.39,0,2.02,0.37,0.79,1.93,81.66,7.85,6.97,15.31,2.75,1.42,0,0,994.84,0.55,23.77,0,52.69,1.13,106.43,0.48,0.05,0.9,2.71,6.31,1148.82,2.64,0.41,0.55,0,0,0.94
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,10.02,0.75,6.5,1.09,2.27,24.59,109.69,13.86,13.79,24.65,4.99,4.82,0,0,1008.99,0.82,29.64,0,54.31,1.32,107.9,0.64,0.41,1.14,2.82,6.33,1108.96,3.1,0.48,1.11,0.1,0,1.07
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,3.94,0,2.25,0.44,0.74,1.68,99.46,8.2,8.62,18.83,7.1,1.41,0,0,1036.57,0.54,26.04,0,61.83,1.27,136.2,0.46,0.05,0.94,2.56,9.16,1240.89,3.09,0.38,0.63,0,0,0.98
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,10.31,1.01,8.49,1.06,2.21,36.53,137.52,11.73,12.49,26.22,7.43,4.55,0,0,1055.7,0.45,26.11,0,57.08,0.84,131.8,0.45,0.44,0.82,2.05,7.51,1150.16,3.17,0.35,0.77,0.06,0,0.72
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,6.88,0,2.44,0.79,1.16,2,119.15,11.23,16.08,16.99,41.65,1.55,0,0,790.9,2.26,32.11,0,74.56,2.43,132.32,0.05,0,1.3,2.68,31.85,1143.21,10.58,0.12,1.52,0,0,1.71
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,21.67,0.75,15.54,1.79,3.25,34.57,141.89,16.31,15.33,25.93,36.79,6.51,0,0,797.03,2.2,30.43,0,73.67,1.87,128.97,0.08,0.62,1.04,2.06,28.98,1067.55,10.33,0.11,1.98,0.07,0,1.38
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,8.82,0.34,4.24,2.17,1.32,2.25,214.04,13.95,19.28,21.38,84.41,2.65,0.02,0,998.71,3.21,46.4,0,97.27,3.43,195.32,0.15,0.1,1.74,3.18,27.49,1369.36,14.16,0.24,2.37,0,0,1.59
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,76.9,4.41,355.92,8.64,20.39,73.81,317.71,29.35,19.57,48.08,56.56,30.15,0,0,1023.14,3.37,42.57,0.54,97.63,2.37,189.6,0.24,1.96,1.36,2.16,21.84,1256.42,14.3,0.26,3.63,0.45,0,1.25
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,8.94,0.31,3.77,0.88,1.37,2.57,181.35,14.03,15.92,20.75,56.54,3.7,0.05,0,907.65,3.34,36.9,0,82.9,2.65,142.8,0.26,0.13,1.88,3.63,38.63,1227.34,13.36,0.27,2.28,0,0,3.64
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,36.3,2.29,47.93,2.67,5.36,50.99,247.69,20.88,15.24,29.62,45.21,23.4,0,0,901.16,3.16,32.95,0,79.4,1.98,136.66,0.24,0.91,1.48,2.66,33.71,1119.41,13.15,0.24,2.75,0.27,0,2.53
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,5.41,0.46,4.72,0.29,1.13,1.58,291.48,10.96,20.35,23.1,67.61,2.44,0,0,1332.85,0.84,76.62,0,1.56,1.42,287.11,0.62,0.18,1.25,186.68,5.39,1550.64,10.64,0.7,0.47,0.04,0,2.23
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,64.56,12.15,886.48,2.93,19.52,99.11,447.51,31.4,23.59,88.38,19.79,74.08,0,0,1392.09,1.11,79.12,0.86,19.34,0.99,269.71,0.97,3.24,1.37,186.14,4.76,1366.32,10.06,0.72,2.39,0.6,0,2.11
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,2.88,0.22,2.3,0.22,0.84,2.25,168.88,7.66,9.6,17.37,12.75,1.86,0,0,1148.62,0.58,46.63,0,0.53,0.42,190.29,0.57,0.09,0.75,112.87,5.44,1167.96,22.75,1.36,0.18,0,0,0.93
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,22.44,2.86,25.82,1.1,6.75,69.45,265.44,14.61,14.14,38.99,8.46,14.22,0,0,1194.03,0.89,50.41,0,2.67,0.48,181.62,0.79,0.65,0.95,120.42,5.83,1065.59,24.83,1.74,0.69,0.35,0,1.11
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,6.33,0,0.29,0,0.41,1.18,137.55,4.04,14,18.61,6.33,0.44,0,0,904.31,0,14.69,0,59.85,2.03,141.64,0,0,0.36,1.62,0,1055.04,1.61,0,0.22,0,0,2.66
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,23.43,1.17,497.19,0.74,10.99,72.07,224.01,9.67,11.55,49.52,1.05,39.92,0,0,899.91,0,11.16,0,53.69,1.05,128.45,0,0.92,0.28,1.09,0,897.88,1.66,0,0.72,0,0,1.35
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,9.31,0,0.01,0,0.61,1.66,25.55,3.05,2.02,25.92,0,0.44,0,0,753.04,0,2.85,0,35,0.88,42.13,0,0,0.37,2.4,0.66,878.39,1.99,0,0.13,0,0,5.45
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,12.97,0,0.53,0.02,0.97,9.46,43.28,4.66,2.73,29.36,0.75,1.41,0,0,797.87,0,6.49,0,38.1,1.16,47.7,0,0,0.48,2.39,0.72,859.27,2.05,0,0.38,0,0,4.1
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,0,0,0,0,0,0,1.16,1.67,3.83,10.88,0,0,0,0,475.1,0.08,4.05,0.9,0.26,0.9,18.31,0.02,0,0.25,3.29,1.03,433.18,2.51,1.24,0,0,0,7.73
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,0,0,0,0,0.04,0,1.45,1.93,4.92,14.27,0,0.05,0,0,456.92,0.24,7.22,0.73,0.04,0.78,21,0.18,0,0.41,6.59,2,441.35,4.98,2.1,0,0,0,7.09
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,4.66,0.09,3.17,0,1.12,1.7,178.52,10.76,20.4,17.82,85.95,1.82,0,0,883.71,1.9,49.28,0,95.55,12.61,221.9,0,0,1.09,2.58,3.17,1339.27,6.79,0,1.4,0,0,1.45
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,12.77,14.3,1039.44,1.5,42.05,92.95,367.95,47.16,18.84,90.35,31.26,70.82,0,0,924.24,2.52,51.03,1.6,108.88,7.42,213.28,0.22,4.83,1.06,1.76,2.3,1232.69,7.39,0,4.2,0.42,0,1.32
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,4.57,0.13,2.53,0,0.96,1.5,182.42,9.8,18.47,15.21,63.74,1.46,0,0,863.35,1.59,41.84,0,87.69,8.81,198.57,0,0,0.96,2.39,1.83,1268.75,4.68,0,1.11,0,0,1.91
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,13.61,12.9,1066.93,1.42,67.6,80.73,335.77,42.52,15.03,82.85,19.83,73.71,0,0,895.89,1.92,42.58,1.18,99.26,4.85,194.03,0.11,4.28,0.86,1.6,1.3,1132.87,5.74,0,3.35,0.26,0,1.33
Tcells - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,3.65,0,0.23,0.27,0.45,1.12,80.97,3.41,9.94,18.52,6.9,0.36,0,0,781.37,0,35.17,0,48.49,0.09,159.17,0,0,0.35,1.55,61.37,1069.03,1.77,0,0.07,0,0,1.21
